ox,a,b,c,A,B,C
0.16,0,-0.081226721,-0.244416138,0,-0.031759648,-0.124969971
0.15,0,-0.081226721,-0.244416138,0,-0.031759648,-0.124969971
0.14,0,-0.081226721,-0.244416138,0,-0.031759648,-0.124969971
0.13,0,-0.081230394,-0.244426233,0,-0.031761084,-0.124975133
0.12,0,-0.081348633,-0.250719117,0,-0.031807315,-0.128192685
0.11,0,-0.075980888,-0.254823925,0,-0.029708527,-0.130291473
0.1,0,-0.073761899,-0.256520824,0,-0.028840902,-0.131159098
0.09,0,-0.101154645,-0.235573115,0,-0.039551466,-0.120448534
0.08,0,-0.064673534,-0.263470855,0,-0.025287352,-0.134712648
0.07,0,-0.057204674,-0.269182422,0,-0.022367028,-0.137632972
0.06,0,-0.038495193,-0.283489888,0,-0.01505162,-0.14494838
0.05,0,-0.02688929,-0.292365123,0,-0.010513713,-0.149486287
0.04,0,-0.032498276,-0.288075835,0,-0.012706826,-0.147293174
0.03,0,-0.026362798,-0.292767741,0,-0.010307854,-0.149692146
0.02,0,-0.020874358,-0.296964847,0,-0.008161874,-0.151838126
0.01,0,-0.060539105,-0.266632525,0,-0.02367079,-0.13632921
0,0,0,0,0,0,0
