compartments,abundance,growth_rate,reactions,metabolites,tradeoff,sample
A,0.09022556269772179,0.0,682,550,,6
B,0.3909774316400026,0.0,750,700,,6
C,0.5187970056622756,0.05500204466543752,745,631,,6
medium,,,95,95,,6
A,0.09022556269772179,5.605064232421074e-16,682,550,1.0,6
B,0.3909774316400026,1.1684315116760125e-16,750,700,1.0,6
C,0.5187970056622756,0.055002044665491225,745,631,1.0,6
medium,,,95,95,1.0,6
A,0.09022556269772179,0.0020012579117820836,682,550,0.9,6
B,0.3909774316400026,0.008702614755203111,750,700,0.9,6
C,0.5187970056622756,0.04259385165658613,745,631,0.9,6
medium,,,95,95,0.9,6
A,0.09022556269772179,0.0033994915023520715,682,550,0.8,6
B,0.3909774316400026,0.013942256734968201,750,700,0.8,6
C,0.5187970056622756,0.032903212456339474,745,631,0.8,6
medium,,,95,95,0.8,6
A,0.09022556269772179,0.003416812427533219,682,550,0.7000000000000001,6
B,0.3909774316400026,0.01436715430040999,750,700,0.7000000000000001,6
C,0.5187970056622756,0.027079783015017386,745,631,0.7000000000000001,6
medium,,,95,95,0.7000000000000001,6
A,0.09022556269772179,0.0034341316253583536,682,550,0.6,6
B,0.3909774316400026,0.014792043398952757,750,700,0.6,6
C,0.5187970056622756,0.021256360254956162,745,631,0.6,6
medium,,,95,95,0.6,6
A,0.09022556269772179,0.002992620127037355,682,550,0.5,6
B,0.3909774316400026,0.012968020327602591,750,700,0.5,6
C,0.5187970056622756,0.01720756639957831,745,631,0.5,6
medium,,,95,95,0.5,6
A,0.09022556269772179,0.0023940961016509846,682,550,0.4,6
B,0.3909774316400026,0.010374416262129387,750,700,0.4,6
C,0.5187970056622756,0.013766053119623903,745,631,0.4,6
medium,,,95,95,0.4,6
A,0.09022556269772179,0.0017955720763332377,682,550,0.30000000000000004,6
B,0.3909774316400026,0.007780812196634204,750,700,0.30000000000000004,6
C,0.5187970056622756,0.010324539839674221,745,631,0.30000000000000004,6
medium,,,95,95,0.30000000000000004,6
A,0.09022556269772179,0.0011970480516920777,682,550,0.2,6
B,0.3909774316400026,0.005187208131118304,750,700,0.2,6
C,0.5187970056622756,0.006883026559621541,745,631,0.2,6
medium,,,95,95,0.2,6
A,0.09022556269772179,0.0005985244008815532,682,550,0.1,6
B,0.3909774316400026,0.0025936040338904853,750,700,0.1,6
C,0.5187970056622756,0.003441513238466757,745,631,0.1,6
medium,,,95,95,0.1,6
A,0.5739130573913058,0.0,682,550,,19
B,0.2739130273913028,0.0,750,700,,19
C,0.15217391521739154,0.18751502868926376,745,631,,19
medium,,,95,95,,19
A,0.5739130573913058,6.944855405494432e-17,682,550,1.0,19
B,0.2739130273913028,3.2142226857387595e-16,750,700,1.0,19
C,0.15217391521739154,0.18751502868921666,745,631,1.0,19
medium,,,95,95,1.0,19
A,0.5739130573913058,0.0050822796970657665,682,550,0.9,19
B,0.2739130273913028,0.0024313753219659695,750,700,0.9,19
C,0.15217391521739154,0.14521959551195915,745,631,0.9,19
medium,,,95,95,0.9,19
A,0.5739130573913058,0.010776846356232215,682,550,0.8,19
B,0.2739130273913028,1.6706552028453197e-13,750,700,0.8,19
C,0.15217391521739154,0.10936791628860598,745,631,0.8,19
medium,,,95,95,0.8,19
A,0.5739130573913058,0.011091857473963617,682,550,0.7000000000000001,19
B,0.2739130273913028,1.085301424015531e-11,750,700,0.7000000000000001,19
C,0.15217391521739154,0.08942837145889007,745,631,0.7000000000000001,19
medium,,,95,95,0.7000000000000001,19
A,0.5739130573913058,0.011406741009458857,682,550,0.6,19
B,0.2739130273913028,2.535552466101505e-13,750,700,0.6,19
C,0.15217391521739154,0.06948930783478018,745,631,0.6,19
medium,,,95,95,0.6,19
A,0.5739130573913058,0.011721352186213197,682,550,0.5,19
B,0.2739130273913028,3.3343710757697177e-13,750,700,0.5,19
C,0.15217391521739154,0.04955127137299856,745,631,0.5,19
medium,,,95,95,0.5,19
A,0.5739130573913058,0.011228226959410855,682,550,0.4,19
B,0.2739130273913028,0.0015702843433403437,750,700,0.4,19
C,0.15217391521739154,0.029833043481217382,745,631,0.4,19
medium,,,95,95,0.4,19
A,0.5739130573913058,0.010351433515423114,682,550,0.30000000000000004,19
B,0.2739130273913028,0.0038858520320216275,750,700,0.30000000000000004,19
C,0.15217391521739154,0.010220282955824896,745,631,0.30000000000000004,19
medium,,,95,95,0.30000000000000004,19
A,0.5739130573913058,0.007660442550183724,682,550,0.2,19
B,0.2739130273913028,0.0036561200043368942,750,700,0.2,19
C,0.15217391521739154,0.002031178019707555,745,631,0.2,19
medium,,,95,95,0.2,19
A,0.5739130573913058,0.0037368058616338096,682,550,0.1,19
B,0.2739130273913028,0.0018004568494083932,750,700,0.1,19
C,0.15217391521739154,0.0014241383811953031,745,631,0.1,19
medium,,,95,95,0.1,19
